Department,Category,Item Lookup Code,Description,Price
,,3017,2.5'fUMED FRIT SPOON,1.75
,,8.4121E+12,LISTERINE MENTHOL 250ML,2.75
CBD,,9.83368E+12,CBD VAPE POD KUSH 500 MG,9.5
SMOKE SUPPLIES,,PT25,2.5 I/O (15-20 GRAM) PEANUT,0.75
SMOKE SUPPLIES,,IHT25,2.5 INSIDE OUT ONE HITTER,1.25
SMOKE SUPPLIES,,081635130058,ELECTRIC CIGARETTE EMATIC5/100,27
,,5.285E+12,HELMI HONEY 24 CT,25
,,091037445001,HI VOLT DBL FLS ACAI GRAP,7.5
,,1.91555E+11,HAND SANITIZER 24CT 1.80OZ ,18
,,6.55708E+11,HAND SANITIZER 24CT JAR,18
,,T-SHIRT 3XL ROUND BLACK,T-SHIRT 3XL ROUND NECK BLACK,2.35
ELECTRONICS & ACCESSORIES,,USB LIGHTER 10CT HEAVY DU,USB LIGHTER 10CT HEAVY DUTY,40
TOBACCO,45mg VAPE,6.49964E+11,RUSH STRAWBERRY BANANA,8
TOBACCO,45mg VAPE,6.49964E+11,RUSH PEACH ICE ,8
TOBACCO,45mg VAPE,6.49964E+11,RUSH TANGERINE ICE,8
TOBACCO,45mg VAPE,6.49964E+11,RUSH BLUEBERRY ICE,8
TOBACCO,45mg VAPE,6.49964E+11,RUSH GRAPE ICE,8
,,6.49964E+11,RUSH TRES LECHES,8
,,6.49964E+11,RUSH CUCUMBER MINT,8
,,6.49964E+11,RUSH CARIBBEAN PASSION,8
FOOD & BEVERAGE,,075200007258,PEANUT PATCH CAJUN BOIL12CT  ,17.5
,,8.60002E+11,MHP-20 GUMMIES 10 PACK,8.5
CBD,CARTRIDGES,7.22035E+11,CBD NATURAL CARTRIDGE 450MG,6.75
FOOD & BEVERAGE,,7.14573E+11,SALUCITA RED EYE MARY SALT,1.75
FOOD & BEVERAGE,,080687537426,ANTOJO ORIGINAL W/BAND 32CT,32
,,770,"3""CLEAR BATS W/ROLL STOP 10PK",2
,,8.97288E+11,TOOTHPICKS,0.75
AUTOMOTIVE,,1.00712E+13,STP POWER STEERING 12CT,18.5
,,COLORS HI SPEED CAR CHARG,COLORS HI SPEED CAR CHARGER,2.75
,,FPS406,POKEMON SILICONE PIPE,3.5
ELECTRONICS & ACCESSORIES,,7.56546E+11,MICRO USB CHARGER ROPE 25CT,18.75
SMOKE SUPPLIES,LIGHTERS,8.52329E+11,CAPITAL TORCH LIGHTER,16.2
,,FGSP04,SINGLE COLORED SHERLOCK PIPE,5
,,FGSP05,COLOR SINGLE SHERLOCK PIPE,5
,,FGSP02,PREMIUM SHERLOCK PIPE,6
SMOKE SUPPLIES,PIPES,RJ4,4 PART MIX GRINDER 45MM,2.75
,,6.41607E+11,TROJAN X 300K,42
,,7.62535E+11,CHILL BUDDA DELTA 8 COOKIE,12.5
,,7.62535E+11,CHILL BUDDA DELTA 8 TANGIE,12.5
SMOKE SUPPLIES,,YD99,6' SM PERFUME BOTTLE GLO,6.5
,,FOP005,HAMMER DESIGN OIL BUBBLER 6,4.5
,,FWP6015,ROUND BULB ZIG ZAG PERC,7.75
,,HPB004,DUCK SHAPE  COLOR TUBING  7,9.75
,,FWP6005,DOME SHOWER PERC 6,7
,,7.16165E+11,RAW PERFORATED GUMMED TIPS,15.5
,,FGB101,SMALL BUBBLER REGULAR,2.5
,,FOP004,OIL BUBBLER W STRIPS DESIGN,4.25
,,FWP6001,MOUTH WP,7
,,FWP6011,SIDE COLOR WATER PIPE,9.5
,,FWP6013,ROUND COLOR TUBING W SHOWER,9
,,FWP7001,BENT MOUTH INLINE PERC 7,6.5
SMOKE SUPPLIES,PIPES,FPS702,"7"" HAMMER SMOKING BUBBLER",8.99
SMOKE SUPPLIES,PIPES,FPS701,"7"" SILICINE SHERLOCK DUCK PIPE",6.99
SMOKE SUPPLIES,,8.1149E+11,WHIP-IT 50CT CREAM CHARGER BLU,18.75
,,3.58287E+11,STACKER 2 BOTTLE 12CT,32
,,KRATOM ORGANIX CAP 150 CT,KRATOM ORGANIX CAP 150 CT,17
,,7.71377E+11,KRATOM S TRAINWRECK  200CT,23
FOOD & BEVERAGE,,080687537436,MICHELADA CHELADA W/BAND 32CT,32
SMOKE SUPPLIES,CIGAR CUTTER,081635058000,FUJIMA V-SHAPE CIGAR CUTTER,16
FOOD & BEVERAGE,,MICHELADA CANTARITO LOKO,MICHELADA CANTARITO LOKO 24CT,58
,,7.62535E+11,CHILL BUDDA DELTA 8 RIPPER,12.5
,,DJ8,GOLD FUMED S HOOK STYLE BUBBLE,9.95
SMOKE SUPPLIES,ESSENCE,CA14,SMOKE EATER CANDLE 3.5OZ,21
SMOKE SUPPLIES,,7.67557E+11,UMBRELLA LARGE SINGLE,1.75
SMOKE SUPPLIES,PIPES,#8 GLASS PIPE,#8 GLASS PIPE,14.5
,,8.04552E+11,SRI SAI GREEN CANNABIS,8.5
,,6.155E+11,CHILL BUDDA DELTA 8 SOUR D,12.5
,,097861121500,PI BODY DISPLAY SPRAY 50CT ,75
FOOD & BEVERAGE,,04206527,RIP IT CITRUS X 16OZ,15.5
FOOD & BEVERAGE,,6.10765E+11,BANG PURPLE HAZE 12CT,20
,,COLORS HI SPEED HEADPHONE,COLORS HI SPEED HEADPHONES,2.75
CBD,CANDY,CBD VANILLA STICKS,CBD VANILLA STICKS,54
SMOKE SUPPLIES,,DO110,3 DUGOUT PLAIN SMALL LGT WOOD,1.5
CBD,CANDY,CBD LEMON STICKS,CBD LEMON STICKS,54
SMOKE SUPPLIES,LIGHTERS,6.94516E+12,MK GRIP LIGHTERS 50CT,18.5
FOOD & BEVERAGE,,6.10765E+11,BANG PINA COLADA,20
SMOKE SUPPLIES,PIPES,PT528,"3"" RICK N MORTY CLEAR GLASS",2
,,ACELLORIES CHARGER,ACELLORIES CHARGER,3.75
SMOKE SUPPLIES,,8.11491E+11,DISPENSER SILVER KITCHEN WHIP,23
,,763,"2.5""FUMED SWIRL ROD SPOON",1.75
,,BANG BLACK BERRY VAN 16OZ,BANG BLACK BERRY VAN 16OZ,20
FOOD & BEVERAGE,,6.10765E+11,BANG PEACH MANGO 12CT,20
PLASTIC/PAPER GOODS,,054000123344,SCOTT TISSUE 36CT,24.75
,,6.3837E+11,COLORS STANDARD PLUG-IN,1.75
,,UMBRELLA,UMBRELLA  - SINGLE,1.9
CBD,CANDY,CBD PIXIE STICKS DISPLAY ,CBD PIXIE STICKS DISPLAY CASE,54
,,DABS,CHILL BUDA DELTA 8 DABS,12.5
FOOD & BEVERAGE,,6.10765E+11,BANG CITRUS TWIST 12CT,20
,,6970,"3"" PINK FUNNEL CHILLUM 5PK",10
SMOKE SUPPLIES,,APD126,3 HEAVY PEANUT W/GOLD FUMED,1.75
,,SMALLTRAY,SMALL DESGIN TRAY,3.75
FOOD & BEVERAGE,,076737310446,CLEARFRUIT FRUIT PUNCH 24CT,16
FOOD & BEVERAGE,,6.10765E+11,BANG BLUE RAZZ 12CT,20
,,8.52663E+11,RHINO AFRICAN 12000 LIQUID,35
,,FMP14,4'' METAL MAGNETIC SPOON PIPE,6.75
ELECTRONICS & ACCESSORIES,,FS06,FIDGET SPINNER BATSMAN W/LED,4.5
FOOD & BEVERAGE,,8.41409E+11,HOME SMART PAPER PLATE,1.15
SMOKE SUPPLIES,,8.90423E+12,SATYA MANTRAM INCENSE,8.5
PLASTIC/PAPER GOODS,,041594644515,FOAM CUP 6.4OZ  24PK/51CT,1
,,7.62535E+11,CHILL BUDDA DELTA 8 GHOST,12.5
SMOKE SUPPLIES,PIPES,PT3,3 DOT WORK HAND PIPE,2
FOOD & BEVERAGE,,6.10764E+11,BANG MIAMI COLA 12CT,20
FOOD & BEVERAGE,,771,BANG CHERRY BLAZE 12CT,20
FOOD & BEVERAGE,,6.10765E+11,BANG STAR BLAST 12CT,20
SMOKE SUPPLIES,,081635200522,CIGARETTE HOLDER W/ FILTER12CT,24
FOOD & BEVERAGE,,6.10764E+11,BANG COTTON CANDY 12CT,20
,,BANG PURPLE PEAR GUAV,BANG PURPLE PEAR GUAV 12CT,20
,,7.16165E+11,RAW COTTON FILTER 200CT,2
SMOKE SUPPLIES,POUCHES,081635600728,FUJIMA AUTO OPEN HOLDER KING,18
,,6.72299E+11,MICHELADAS 24 CT CHELARINDO,42
SMOKE SUPPLIES,,7.56546E+11,BROWN JERSEY GLOVES 12CT,7.5
,,RNC10R,NECTAR GLASS 10MM RAINBOW,10.5
SMOKE SUPPLIES,PIPES,7.61857E+11,"HVR 4"" GREEN P-1568",0.75
SMOKE SUPPLIES,MACHINES,081635106305,FUJIMA WINE STOPPER,15
SMOKE SUPPLIES,LIGHTERS,8.11491E+11,SPECIAL BLUE DOUBLE TORCH,20
,,7.63584E+11,VALU GUARD GLOVES LARGE 200CT,10.5
FOOD & BEVERAGE,,7.14573E+11,SALUCITA MICHELADA SPICY CUP,24
,,FWP7004,SPRINKLER PERC ZONG WP,11.75
SMOKE SUPPLIES,PIPES,APS,SMALL ANIMAL 1CT,3.6
,,8.60002E+11,MHP-20 GUMMIES 30 PACK,21
,,HPB003,BUBBLE PREMIUM HEAVY 6,11.75
SMOKE SUPPLIES,PIPES,FP309,"3"" FUMED SQUARE MOUTH PIPE",2.99
,,3.6586E+11,ENERGIZE RAPID ACTION 12CT,48
,,DETOX CHAMP ,CHAMP DETOX DRINK 473ML ,3.15
FOOD & BEVERAGE,,6.10765E+11,BANG BLACK CHERRY TWIST 12CT,20
SMOKE SUPPLIES,LIGHTERS,8.11491E+11,SPECIAL BLUE SKULL AND ROSE,23.5
FOOD & BEVERAGE,,7.14573E+11,SALUCITA MICHELADA ORG CUP 24 ,24
,,FWP6008,COLOR TUBING WATER PIPE 6,7.25
,,FWSP107,SILICONE PUMPKIN OIL RIG,8.5
,,3.0149E+11,PEPTO-BISMOL CHEWABLES 30 CT,24
FOOD & BEVERAGE,,7.14573E+11,SALUCITA MICHELADA LIME CUP,24
,,FPMJ,JAR MIXED 2'' TO 4'' HAND PIPE,0
SMOKE SUPPLIES,ASHTRAY,090773417891,EXTINGUISHING ASHTRAY 12CT,24
FOOD & BEVERAGE,,6.10765E+11,BANG CHAMPANGE 12CT,20
SMOKE SUPPLIES,,7.42272E+11,RIGHT WEIGHT SCALE RW-003,6.5
,,8.22377E+11,KRATOM S RED 150 CT,14
WRAPS/FILTERS/HEMP/CONES,,6.80569E+11,GREEN GOLD LEAF PAAN FLAVOUR,16.5
CBD,,http://l.ead.me/bb6dKf,CBD DANK FLOWER,13
FOOD & BEVERAGE,,7.14573E+11,SALUCITA MICH LIQUID 12OZ BO,2.25
,,FWSP102,BARREL DESIGN SILICONE 8,7
,,FWSP108,SILICONE POKEMON BUBBLER,10.25
,,FWSP109,SILICONE TANK OIL RIG 4 2,8
SMOKE SUPPLIES,PIPES,VP-13,INSIDE CHINA 35,3.8
PLASTIC/PAPER GOODS,,HP2,OCB ORGANIC HEMP PAPER 11/4 24,20
CBD,,BLUUM POD DISPLAY,BLUUM POD DISPLAY,225
SMOKE SUPPLIES,CIGAR CUTTER,ES1,EZ SPLITZ CIG CUTTER LARGE 60C,45
ELECTRONICS & ACCESSORIES,,COLORS STANDARD LED DISPL,COLORS STANDARD LED DISPLAY,150
SMOKE SUPPLIES,,7.19499E+11,HIGH HEMP KING PAPER 25CT,25
FOOD & BEVERAGE,,076737310408,CLEARFRUIT CHERRY BLAST 24CT,15
SMOKE SUPPLIES,PIPES,#7 GLASS PIPE,#7 GLASS PIPE,23
LIQUOR SUPPLIES,,7.20619E+11,COCKTAIL SHAKER,7.5
,,FCP315,TWISTED COLOR STRIAGHT PIPE 3,1.5
CBD,BATH BOMB,CBD BATH BOMBS 50MG,CBD BATH BOMBS 50MG,7.5
FOOD & BEVERAGE,,6.10764E+11,BANG RAINBOW UNICORN12CT,20
ELECTRONICS & ACCESSORIES,,6.92012E+11,WEIGH MAX SCALE NJ100 BLACK,4.99
ELECTRONICS & ACCESSORIES,,6.92012E+11,WEIGH MAX SCALE RA100,4.99
,,8.52027E+11,DIGITAL SCALE,7.5
,,FP305,COLOR STRIPS 3 RINGS PIPE,2.5
,,8.56073E+11,GOLD PLUS RHINO 100000 24CT,55
,,KN95 FACE MASK,KN95 FACE MASK 10CT,40
,,7.16165E+11,RAW PARCHMENT 10CM X 4M 12CT,26
,,7.16165E+11,RAW SIX SHOOTER VARIABLE QUANT,11.5
,,6.5237E+11,GRINDER 3 PARTS GR041,4.5
,,6.5237E+11,GRINDER 3 PARTS GR043,4.5
,,6.52369E+11,GRINDER 4 PARTS GR042,4.5
,,6.52369E+11,GRINDER4 PARTS GR071-P,7.5
,,086400901291,JOB ORGANIC SINGLE WIDE 24CT,37
,,GLOW IN DARK,GLOW IN DARK BLKDOLPINE FLOWER,12
,,081635190120,BIG CHERRY & MAPLE WOODEN PIPE,24
,,7.16165E+11,ELEMENTS ULTRA THIN RICE 1 1/4,19
,,7.19499E+11,HIGH HEMP MINT 25CT,16.25
,,8.19436E+11,CHILLUM TO STRAW FLIP 49 CT,130
,,6.4519E+11,FRONTO LEAF REGULAR,2.25
,,6.85868E+11,24K SHINE GOLD PAPER KING ,14
SMOKE SUPPLIES,PIPES,FP503,"5"" COLOR LINES HEAVY PIPE",5.99
FOOD & BEVERAGE,,04200523,RIP IT COCONUT MANGO 16OZ,15.5
ELECTRONICS & ACCESSORIES,,1.63054E+11,GLASS CONTAINER 12CT TRAY ,21
ELECTRONICS & ACCESSORIES,,081635002508,9MM PIPE FILTER 10PC 24CT,29
,,7.4369E+11,HAND SANITIZER 1.75OZ,3
SMOKE SUPPLIES,PIPES,RJ2,"3"" COLOR TUBE MULTICOLOR",2.25
FOOD & BEVERAGE,,6.04606E+11,BANDERILLA MANGO STICK35CT,25
,,RNC10S,NECTAR GLASS 10MM SPECTRUM,10.5
SMOKE SUPPLIES,PIPES,FNC07,SILICONE NECTOR COLLECTOR,5.99
,,RNC10G,NECTAR GLASS 10MM GOLD,10.5
,,FPS411,"4.5""CARTOON SILICONE PIPE",4.99
AUTOMOTIVE,,RNC14R,NECTAR GLASS 14MM RAINBOW,13.5
,,7.53182E+11,HEMP WICK 24 CT,48
SMOKE SUPPLIES,PIPES,FWSP103,"13"" 2P SILICONE ICE CATCHER",13.99
ELECTRONICS & ACCESSORIES,,8.14859E+11,DIGIT Z SCALE DZ3-600,5.5
FOOD & BEVERAGE,ENERGY DRINK,012000016721,STARBUCKS CARAMEL 13.7OZ  12CT,24.5
FOOD & BEVERAGE,ENERGY DRINK,012000017049,STARBUCKS VANILLA 13.7OZ  12CT,24.5
FOOD & BEVERAGE,ENERGY DRINK,012000018169,STARBUCKS MOCHA 13.7OZ  12CT,24.5
FOOD & BEVERAGE,ENERGY DRINK,012000028472,STARBUCKS COFFEE 15OZ  12CT,24.5
SMOKE SUPPLIES,MISC,013964162547,HI VOLT DETOX 16OZ BLAZIN CHER,4.16
SMOKE SUPPLIES,MISC,013964343113,HI VOLT DETOX 16OZ TROP ORANG,4.16
SMOKE SUPPLIES,MISC,013964343144,HI VOLT DBL FLS ACAI LEMON LM,7.66
SMOKE SUPPLIES,MISC,013964343175,HI VOLT DETOX 16OZ ACAI GRAPE,4.16
SMOKE SUPPLIES,MISC,013964343199,HI VOLT DETOX 16OZ POMEGRANAT,4.16
FOOD & BEVERAGE,ENERGY DRINK,018355602411,PURE ENERGY NOW 24PK,6.5
LIQUOR SUPPLIES,SALT,023604201239,TWANG PICKLE SALT 200CT,14.5
LIQUOR SUPPLIES,SALT,023604305005,TWANG BLOODY MARY  SALT ,2.5
LIQUOR SUPPLIES,SALT,023604467062,TWANG PICKLE RIMMING SALT,2.75
FOOD & BEVERAGE,JUICE/MIXERS,023604703009,ZAS MANGO CHILI 4OZ 12 CT.,2.5
FOOD & BEVERAGE,JUICE/MIXERS,023604712001,ZAS HATCH CHILE  4OZ 12 CT.,2.5
AUTOMOTIVE,,033159010149,CITGO 5W20 12 1QT,33
AUTOMOTIVE,,033159010330,CITGO 5W30 12 1QT ,37
SMOKE SUPPLIES,GRINDERS,036882100545,GRINDER AA-157,4.8
MEDS/DAILY CARE,DEODARANT,037000124429,SECRET SOLIDPOWDER FRESH STICK,1.75
MEDS/DAILY CARE,MISC,037000331599,ALWAYS ULTRA THIN 20CT,3.75
MEDS/DAILY CARE,MISC,041167008850,ICY HOT CREAM 1.25OZ,3.25
FOOD & BEVERAGE,FOOD,041443007287,PEANUT PATCH SOUTHN. BBQ 12CT,17.5
FOOD & BEVERAGE,FOOD,041443007294,PEANUT PATCH SALT VINEGAR 12CT,17.5
FOOD & BEVERAGE,FOOD,041443007300,PEANUT PATCH JAL. GARLIC 12CT,17.5
FOOD & BEVERAGE,FOOD,041443007317,PEANUT PATCH SWEET HEAT 12CT,17.5
SMOKE SUPPLIES,LIGHTERS,041689127497,ZIPPO CUBS WD SERIES LIGHTER,17.5
SMOKE SUPPLIES,MISC,051497066802,BLAZY SUSAN WHITE COTTON BUDS,2.5
SMOKE SUPPLIES,LIGHTERS,060230703300,JUMBO LIGHTER CLEAR,18
SMOKE SUPPLIES,MISC,065626846661,WHIP-IT 24CT CREAM CHARGER ORI,9.5
SMOKE SUPPLIES,MACHINES,066619023229,PREMIER TWIN INJECTOR MACHINE,10
FOOD & BEVERAGE,FOOD,072999262035,PEARLS PIMIENTO STUFFED OLIVES,2.5
SMOKE SUPPLIES,,DO100,4 DUGOUT DESIGN BIG SIZE,1.5
,,AF1,7 REGULAR HAMMER BUBBLER,7
SMOKE SUPPLIES,PIPES,#39 GLASS PIPE,#39 GLASS PIPE,39
FOOD & BEVERAGE,,04200727,RIP IT CHERY LIME 16OZ,15.5
SMOKE SUPPLIES,MISC,081635000160,ALUMINIUM CIG KING CIG HOLDER ,28
SMOKE SUPPLIES,PIPES,ALUHOOKAH,ALUMINIUM HOOKAH RJ-7,3.5
,,FP202,TWO RINGS HEAVY PIPE 2 5,1.75
SMOKE SUPPLIES,PIPES,APL2,APL2 LARGE ANIMAL 1CT,4.25
FOOD & BEVERAGE,FOOD,070842002708,BEER NUTS HOT BAR MIX ,14
CBD,CARTRIDGES,CBD CARTRIDGES 1000MG,CBD CARTRIDGES 1000MG,6.75
,,8.70434E+11,DETOXIFY MEGA CLEAN 32OZ,15.75
LIQUOR SUPPLIES,,6.55708E+11,BOTTLE OPENER 48CT,12
FOOD & BEVERAGE,,097339000139,VALENTINA SALSA PICANTE 5OZ,0.75
FOOD & BEVERAGE,,6.10765E+11,BANG SOUR HEADS 12CT,20
ELECTRONICS & ACCESSORIES,,8.14859E+11,AWS DIGITAL SCALE 600,6.5
,,077170104425,SWIFT PORTABLE 100MM,13.5
SMOKE SUPPLIES,MISC,081635000177,FUJIMA ALUM AUTO OPEM 100S CIG,28
SMOKE SUPPLIES,GRINDERS,6.92345E+11,GRINDER ITEM MH229 4PARTS,6.75
FOOD & BEVERAGE,,6.04606E+11,BANDERILLA TAMARIND STICK35CT,25
FOOD & BEVERAGE,JUICE/MIXERS,023604931006,TWANG CLASSIC COCKTAIL MIX 32O,6.5
,,FWP6014,TWISTED TUBE COLOR 6,7.75
FOOD & BEVERAGE,FOOD,041443110925,PEANUT PATCH ORGINAL 6CT,39
WRAPS/FILTERS/HEMP/CONES,WRAPS/PREROLL,051497066772,BLAZY SUSAN PINK COTTON 300CT,4.5
FOOD & BEVERAGE,FOOD,070842000667,BEER NUT PEANUTS ,14
,,THERMAL T-SHIRT SIZE XL,THERMAL T-SHIRT SIZE XL,5.5
WRAPS/FILTERS/HEMP/CONES,CONES,051497221744,BLAZY SUSAN 98MM CONES,10.75
SMOKE SUPPLIES,,8.11491E+11,DISPENSER BLUE GROVEY TIE DIE,25.5
,,8.11491E+11,SPECIAL BLUE CLASSIC SKIN,24.5
,,8.12934E+11,SMARTPHONE MC CABLE 25CT,2
WRAPS/FILTERS/HEMP/CONES,WRAPS/PREROLL,051497066789,BLAZY SUSAN WHITE COTTON 300CT,4.5
,,8.12934E+11,SMARTPHONE TC CABLE 25CT,2
AUTOMOTIVE,,033159010118,CITGO 10W30 12 1QT ,37
,,8.00182E+11,FUZION RT-500 SCALE,3
SMOKE SUPPLIES,,7.42272E+11,RIGHT WEIGHT SCALE RW-006,6.5
ELECTRONICS & ACCESSORIES,,6.92201E+11,WEIGHMAX DX-100,6
,,7.62535E+11,CHILL BUDDA DELTA 8 PURPLE,12.5
,,PREMIER ZEN 4000,PREMIER ZEN 4000,65
,,7.62535E+11,CHILL BUDDA DELTA 8 CAKE,12.5
SMOKE SUPPLIES,,GW1209,12 SOFT GLASS VASE,12
SMOKE SUPPLIES,,081635130065,ELECTRIC CIGARETTE EMATIC6 KIN,27
CBD,,6.6434E+11,SWAG HAMP SMOKE,48
,,FNC01,SILICONE NECTOR COLLECTOR,9.99
AUTOMOTIVE,,033159010132,CITGO 10W40 12 1QT ,33
MEDS/DAILY CARE,MISC,022600019961,TROJAN EXTENDED PLEASURE 6CT,13.5
FOOD & BEVERAGE,JUICE/MIXERS,023604911008,TWANG CLASSIC COCKTAIL MIX 16O,4
,,USB LIGHTER 12CT LIGHT DU,USB LIGHTER 12CT LIGHT DUTY ,35
,,T-SHIRT 2XL V-NECK WHITE ,T-SHIRT 2XL V-NECK WHITE ,2.25
SMOKE SUPPLIES,,8.1149E+11,WHIP-IT 24CT CREAM CHARGER BLU,9.5
SMOKE SUPPLIES,PIPES,X2181,8' FANCY TAPER W/MILLE FLOWERS,10
SMOKE SUPPLIES,,A022,8 SINGLE BUBBLE WITH WRAP,9.5
,,8.22377E+11,KRATOM S WHITE 150 CT,14
AUTOMOTIVE,,1.00712E+13,STP SUPER CON FIUEL INJ 12CT,29.5
SMOKE SUPPLIES,LIGHTERS,8.11491E+11,SPECIAL BLUE PLASITC LIGHTER,18.5
CBD,,https://client.sclabs.com,CBD FLOWER,14
,,8.22377E+11,KRATOM S GREEN 150 CT,14
LIQUOR SUPPLIES,SALT,023604200539,TWANG TAMARIND  SALT 200CT,14.5
ELECTRONICS & ACCESSORIES,,DUALCHARGDISP,DUAL CHARGER DISPLAY 100PCS,140
FOOD & BEVERAGE,JUICE/MIXERS,023604704006,ZAS TAMARIND 4OZ 12 CT.,2.5
,,DOVE SPRAY,DOVE SPRAY AP-DEO 150ML,13.5
,,7.71377E+11,KRATOM S TRAINWRECK 50 CT,10
,,7.71377E+11,KRATOM S TRAINWRECK  100 CT,14
SMOKE SUPPLIES,PIPES,6SHOOTER,6SHOOTER RJ-7,5.5
,,081635161939,SHISHA HOOKAH DOUBLE HOSE HK93,9.5
SMOKE SUPPLIES,LIGHTERS,070330644205,BIC PRINTED LIGHTERS 50CT,45
AUTOMOTIVE,,070612403209,ARMOR ALL TIRE FOAM SINGLE20OZ,4
MEDS/DAILY CARE,MISC,047400130715,GILLETTE SHAVING GEL 6CT,16
SMOKE SUPPLIES,,091585031183,CLIPPER LIGHTER,28.8
SMOKE SUPPLIES,,JA24,2 FUNNEL SLIDE,2
CBD,E-LIQUID,7.58763E+11,HEMP CBD OIL ,16.5
LIQUOR SUPPLIES,SALT,023604206432,TWANG HOT PICKLE SALT 200CT,14.5
CBD,,CBD CARTRIDGE DISPLAY 72C,CBD CARTRIDGE DISPLAY 72CT,432
MEDS/DAILY CARE,MISC,073010006881,TAMPAX PEARL 6PK,26.5
SMOKE SUPPLIES,PIPES,RJ8,DIAMOND CUT METAL PIPE,0.85
FOOD & BEVERAGE,,6.10764E+11,BANG 24PK VARIETY PK,39
MEDS/DAILY CARE,LIQUID,0685757524780,GW GENIUS CARE SANITIZER 100ML,0.85
SMOKE SUPPLIES,PIPES,FPS402,"4.5"" CAT SILICONEPIPE",4.99
,,FPS302,SLOTH SILICONE PIPE W KEYCHAIN,3.25
SUPPLEMENTS,,1.0855E+13,357 SUPER MAGNUM BOTTLE 12CT,21
,,8.86552E+11,GALAXY LITE 50CT ,5
,,769,BANG GEORGIA PEACH SWEET TEA,20
,,DISPLAY EARINGS 288CT,DISPLAY EARINGS 288CT,160
,,7.42272E+11,RIGHT WEIGHT,6.5
,,THERAFLU DAYTIME 16CT,THERAFLU DAYTIME 16CT,22.5
,,8.19436E+11,CHILLUM WHITE RHINO GC49,62
SMOKE SUPPLIES,,GW1006A,10 SOFT GLASS VASE,13
ELECTRONICS & ACCESSORIES,,1.08129E+13,IPHONE TYPE C CABLE 1CT,4.75
,,GW GENIUS CARESANTZR200ML,GW GENIUS CARE SANITIZER 200ML,1.25
SMOKE SUPPLIES,,8.11491E+11,DISPENSER BLUE CAMMOFLAUGE,25.5
,,8.11491E+11,SPECIAL BLUE MINI BERNIE RUBBE,18.5
,,FGB103,SMALL BUBBLER FUMED,2.5
,,FGB102,SMALL BUBBLERR FRIT COLOR,2.75
SMOKE SUPPLIES,,080692950128,BROWN JERSEY WORK GLOVES 12CT,8
,,PREMIER ZEN 5000,PREMIER ZEN 5000,65
,,FMCSD,METAL CIG SMALL 100CT,65
ELECTRONICS & ACCESSORIES,,8.14859E+11,AWS MAX-700,5.75
FOOD & BEVERAGE,,6.10764E+11,BANG BANGSTER BERRY 12CT,20
MEDS/DAILY CARE,,037000386018,ALWAYS THIN 28CT,6.5
SMOKE SUPPLIES,,081635770063,DBL SIDED ASST KING CIG CASE ,26.5
MEDS/DAILY CARE,,037000830955,ALWAYS ULTRA 13CT,4.75
SMOKE SUPPLIES,,077170101134,SWIFT PORTABLE KING SIZE,13.5
WRAPS/FILTERS/HEMP/CONES,,077170632096,GAMBLER KING SIZE,24
SMOKE SUPPLIES,,081635160383,SHISHA HOOKAH SINGLE HOSE HK38,9.5
SMOKE SUPPLIES,,081635410136,GLOW IN DARK ASHTRAY,17
FOOD & BEVERAGE,,090478232478,SANGRIA SENORIAL 12OZ 12PK,9.5
FOOD & BEVERAGE,,090478232485,MUNDET 12OZ 12PK,9.5
WRAPS/FILTERS/HEMP/CONES,,1.0854E+13,KING PALM 2PK SLIM MAGIC MINT,31.5
FOOD & BEVERAGE,,2.00905E+13,MUNDET APPLE SODA 12OZ 24PK,18
FOOD & BEVERAGE,,286,BANG WYLDIN WATERMELON,20
SMOKE SUPPLIES,,3.08679E+13,TECHNO TORCH LINSE,26.25
SMOKE SUPPLIES,,1.00369E+13,6'' BG BLACK BOX,7.5
MEDS/DAILY CARE,,4.0001E+11,LATEX GLOVES 100CT,10.5
FOOD & BEVERAGE,,476,BANG KEY LIME PIE,20
SUPPLEMENTS,,6.09466E+11,BLACK MAMBA 18K 24CT,35
FOOD & BEVERAGE,,6.10764E+11,BANG BIRTHDAY CAKE 16OZ,20
CBD,,6.155E+11,CHILL BUDDA DELTA 8 LEMON,12.5
CBD,,6.155E+11,CHILL BUDDA DELTA 8 BLUE DREAM,12.5
CBD,,6.155E+11,CHILL BUDDA DELTA 8 PINEAPPLE,12.5
ELECTRONICS & ACCESSORIES,,6.3837E+11,COLORS STANDARD MICRO CABLE,1.75
ELECTRONICS & ACCESSORIES,,6.3837E+11,COLORS STANDARD IPHONE CABLE,1.75
SUPPLEMENTS,,6.40794E+11,BLACK  STALLION PLATINUM 50K,50
SUPPLEMENTS,,6.40794E+11,ORGAZEN GOLD 5800,50
MEDS/DAILY CARE,,6.55708E+11,PEPTO-BISMOL 25CT TABLET ,16
MEDS/DAILY CARE,,6.55708E+11,ALKA SELTZER PLUS  LOOSE 12PK,9.5
MEDS/DAILY CARE,,6.55708E+11,ALKA SELTZER L LOOSE 10PK ,9
MEDS/DAILY CARE,,6.55708E+11,ALEVE L LOOSE 12 PK,9.5
MEDS/DAILY CARE,,6.58331E+11,ALKA-SELTZER PLUS COLD 25CT,9.5
CBD,,6.76308E+11,MYSTIC LABS GUAVA EXPLOSION,45
MEDS/DAILY CARE,,6.78112E+11,CLEAR EYES SINGLE PACK,3
